"Name";"VMHost";"PowerState";"Vmtools"
"CI00066981-SVARGPAPP01";"sharbehaesx002.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00022837-SV-ARG-NGMS-P1";"sharbehaesx170.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI92762-SV-ARG-MGMT-P1";"sharbehaesx160.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00069570-SVARGPROUTER01";"sharbehaesx006.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00077086-SV-ARG-ENCLG-P1";"sharbehaesx147.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI76988-SV-ARG-CRYST-P1";"sharbehaesx028.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00075275-SV-ARG-CR-P1";"sharbehaesx041.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00066740-SV-ARG-CR-F3";"sharbehaesx159.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00066739-SV-ARG-CR-F2";"sharbehaesx152.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00023077-SV-ARG-CRD-P1";"sharbehaesx009.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00074369-SV-ARG-CLLBR-P1";"sharbehaesx141.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00061430-SV-ARG-AXS3-P1";"sharbehaesx161.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI77243-SV-ARG-ACLTS-P1";"sharbehaesx023.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00034944-SV-ARG-EFSW-P1";"sharbehaesx096.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00089511-SV-ARG-RAPS-F3";"sharbehaesx159.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00021560-SV-ARG-RECTS-P1";"sharbehaesx162.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00024767-SV-ARG-REMTS-P1";"sharbehaesx028.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00115337-CLONE_HI78749-SWARG134";"sharbehaesx038.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00115338-CLONE_HI78750-SWARG135";"sharbehaesx110.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00092101-SV-ARG-UL3-P3";"sharbehaesx155.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00092100-SV-ARG-UL3-P2";"sharbehaesx153.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00092099-SV-ARG-UL3-P1";"sharbehaesx160.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00079869-SV-ARG-TABL-P03";"sharbehaesx151.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00079868-SV-ARG-TABL-P02";"sharbehaesx157.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00079866-SV-ARG-TABL-P01";"sharbehaesx155.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI68233-SV-ARG-SPARX-P2";"sharbehaesx022.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI68232-SV-ARG-SPARX-P1";"sharbehaesx027.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"CI00013765-SV-ARG-SFT-P1";"sharbehaesx002.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
"HI99672-SV-ARG-SEM-P1";"sharbehaesx026.cegekavirtual.local";"PoweredOn";"guestToolsRunning"
